# Complete USDA Foundation Foods Nutrient Analysis
# Generated from scanning the entire dataset
# Total unique nutrients found: 227
# Total foods analyzed: 65

## All Nutrients (sorted by frequency)
Format: Nutrient Name | Frequency | Example Foods
================================================================================

Zeaxanthin | 12 foods | Tomatoes, grape, raw | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
trans-beta-Carotene | 11 foods | Tomatoes, grape, raw | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
cis-beta-Carotene | 11 foods | Tomatoes, grape, raw | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
cis-Lycopene | 11 foods | Tomatoes, grape, raw | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
Lutein | 11 foods | Tomatoes, grape, raw | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
5-methyl tetrahydrofolate (5-MTHF) | 11 foods | Lettuce, cos or romaine, raw | Squash, summer, green, zucchini, includes skin, raw | Squash, summer, yellow, includes skin, raw
Ergosterol | 11 foods | Mushroom, lion's mane | Mushroom, oyster | Mushrooms, shiitake
Ergothioneine | 11 foods | Mushroom, lion's mane | Mushroom, oyster | Mushrooms, shiitake
Vitamin D4 | 11 foods | Mushroom, lion's mane | Mushroom, oyster | Mushrooms, shiitake
Ergosta-7-enol | 11 foods | Mushroom, lion's mane | Mushroom, oyster | Mushrooms, shiitake
Ergosta-7,22-dienol | 11 foods | Mushroom, lion's mane | Mushroom, oyster | Mushrooms, shiitake
Ergosta-5,7-dienol | 11 foods | Mushroom, lion's mane | Mushroom, oyster | Mushrooms, shiitake
Glutathione | 11 foods | Mushroom, lion's mane | Mushroom, oyster | Mushrooms, shiitake
Fiber, insoluble | 10 foods | Peaches, yellow, raw | Kiwifruit, green, raw | Nectarines, raw
